40 36 26.50 N	75 29 29.30 W
40 35 57.30 N	75 28 55.70 W
40 37 02.70 N	75 29 45.90 W
40 36 03.80 N	75 28 32.40 W
40 35 09.40 N	75 27 38.40 W
40 35 49.40 N	75 31 28.50 W
40 35 54.80 N	75 31 39.60 W
40 34 20.70 N	75 28 40.40 W
40 34 52.00 N	75 31 26.50 W
40 33 35.20 N	75 29 16.10 W
40 35 09.00 N	75 27 38.00 W
40 34 35.00 N	75 31 42.00 W
40 34 32.00 N	75 31 48.00 W
40 33 44.50 N	75 29 06.00 W
40 35 31.00 N	75 32 30.00 W
40 34 29.00 N	75 31 58.00 W
40 35 36.00 N	75 32 43.50 W
40 33 24.00 N	75 29 23.00 W
40 34 18.00 N	75 32 35.00 W
40 36 40.50 N	75 33 53.60 W
40 38 17.00 N	75 26 01.00 W
40 38 25.00 N	75 26 06.00 W
40 38 14.00 N	75 26 02.00 W
40 35 31.00 N	75 35 16.00 W
40 39 07.00 N	75 26 04.00 W
40 33 23.00 N	75 34 51.00 W
40 34 47.00 N	75 37 14.00 W
40 34 42.00 N	75 37 18.00 W
40 34 38.00 N	75 37 32.00 W
40 35 03.00 N	75 37 31.00 W
40 36 32.00 N	75 22 41.00 W
40 36 33.00 N	75 23 08.00 W
40 34 49.20 N	75 23 28.00 W
40 37 06.00 N	75 22 44.00 W
40 37 10.00 N	75 22 54.50 W
40 37 23.00 N	75 22 41.70 W
40 38 38.00 N	75 20 45.50 W
40 38 41.00 N	75 25 28.00 W
40 38 40.00 N	75 25 31.00 W
40 39 39.00 N	75 22 55.50 W
40 39 25.00 N	75 24 59.00 W
40 39 24.00 N	75 25 05.00 W
40 39 23.00 N	75 25 09.00 W
40 39 57.00 N	75 22 54.00 W
40 39 56.00 N	75 23 20.00 W
40 40 32.00 N	75 20 41.00 W
40 34 33.50 N	75 37 23.10 W
40 55 19.70 N	75 23 59.80 W
40 33 32.90 N	75 24 43.10 W
40 32 09.50 N	75 23 18.60 W
40 15 56.70 N	75 13 36.00 W
40 11 05.70 N	75 27 04.20 W
40 09 33.80 N	75 28 23.80 W
40 31 04.40 N	75 23 11.70 W
40 15 33.30 N	75 43 42.30 W
40 16 25.70 N	75 07 37.80 W
40 18 36.60 N	75 07 51.00 W
40 18 37.40 N	75 07 49.90 W
40 19 15.00 N	75 07 50.90 W
40 19 18.40 N	75 07 51.20 W
40 19 21.70 N	75 07 48.00 W
40 19 23.50 N	75 07 48.50 W
40 19 30.00 N	75 07 46.00 W
40 41 01.00 N	75 15 23.00 W
40 39 16.30 N	75 17 10.00 W
40 41 26.00 N	75 15 01.00 W
40 41 18.80 N	75 15 10.00 W
40 39 19.00 N	75 17 13.00 W
40 41 13.70 N	75 12 33.50 W
40 41 37.40 N	75 12 32.50 W
40 42 35.00 N	75 16 50.50 W
40 42 55.80 N	75 17 06.80 W
40 42 58.60 N	75 17 02.70 W
40 42 47.00 N	75 13 20.00 W
40 31 44.40 N	75 30 23.80 W
40 32 11.10 N	75 29 22.00 W
40 24 04.80 N	75 51 34.20 W
40 34 55.30 N	75 37 39.60 W
40 19 35.40 N	75 37 11.90 W
40 33 42.40 N	75 59 58.20 W
40 33 45.40 N	76 00 20.30 W
40 16 00.50 N	75 22 35.10 W
40 17 17.40 N	75 15 56.50 W
40 35 37.50 N	75 20 18.00 W
40 34 02.20 N	75 20 24.40 W
40 14 41.30 N	75 20 33.00 W
