Ana,1.11,1.46,0.13,365,0.0,733,0.0,Ana,1.11,1.46,0.13,365,0,733,0.0,0.5
Bastion,2.41,2.59,0.309,1988,0.0,170,0.97,Ana,1.11,1.46,0.13,365,0,733,0.0,0.15
Lucio,1.42,1.87,0.324,476,0,821,1.37,Ana,1.11,1.46,0.13,365,0,733,0.0,0.75
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Ana,1.11,1.46,0.13,365,0,733,0.0,0.45
Mei,2.01,2.39,0.38,727,602,95,0.9,Ana,1.11,1.46,0.13,365,0,733,0.0,0.3
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Ana,1.11,1.46,0.13,365,0,733,0.0,0.38095238
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Ana,1.11,1.46,0.13,365,0,733,0.0,0.0
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Ana,1.11,1.46,0.13,365,0,733,0.0,0.3
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Ana,1.11,1.46,0.13,365,0,733,0.0,0.3
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Ana,1.11,1.46,0.13,365,0,733,0.0,0.27272727
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Ana,1.11,1.46,0.13,365,0,733,0.0,0.1
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.85
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.5
Lucio,1.42,1.87,0.324,476,0,821,1.37,Bastion,2.41,2.59,0.309,1988,0,170,0.97,1.0
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.55
Mei,2.01,2.39,0.38,727,602,95,0.9,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.6
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.55
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.4
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.35
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.6
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.65
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Bastion,2.41,2.59,0.309,1988,0,170,0.97,0.1
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.25
Bastion,2.41,2.59,0.309,1988,0,170,0.97,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.0
Lucio,1.42,1.87,0.324,476,0,821,1.37,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.5
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.2
Mei,2.01,2.39,0.38,727,602,95,0.9,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.0
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.3
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.0
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.09
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.4
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.1
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,Lucio,1.42,1.87,0.324,476,0,821,1.37,0.0
Ana,1.11,1.46,0.13,365,0.0,733,0.0,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.55
Bastion,2.41,2.59,0.309,1988,0,170,0.97,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.45
Lucio,1.42,1.87,0.324,476,0,821,1.37,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.8
McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.5
Mei,2.01,2.39,0.38,727,602,95,0.9,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.3
Reaper,2.49,2.63,0.315,1225,0.0,62,12.24,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.25
Roadhog,2.18,2.72,0.361,1339,0,313,11.78,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.2
Soldier:76,2.55,3.0,0.411,1491,0,165,3.22,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.5
Torbjorn,2.35,3.55,0.335,1342,0.0,0.0,1.57,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.4
Zarya,2.31,3.26,0.478,1084,534,0.0,0.0,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.33333
Zenyatta,1.67,2.16,0.343,863,0.0,655,1.09,McCree,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.4167
Ana,1.11,1.46,0.13,365,0.0,733,0.0,Mei,2.01,2.39,0.38,727,602,95,0.9,0.7
